PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,POSS,2021/22 Salary,Team Payroll,Percentage of Team Payroll
Daishen Nix,HOU,20,24,3,21,10.9,104.4,111.0,-6.6,20.8,1.54,27.2,2.6,10.3,6.4,17.7,45.5,48.0,16.7,104.29,5.9,564,923078.0,132267085.0,0.7
Pascal Siakam,TOR,28,68,40,28,37.9,114.3,109.6,4.8,22.4,1.99,18.8,4.6,18.2,11.1,9.5,52.5,56.5,25.7,96.31,13.9,5177,33003936.0,134896484.0,24.5
Fred VanVleet,TOR,28,65,39,26,37.9,112.2,108.5,3.7,26.6,2.55,24.3,1.6,10.0,5.7,9.5,51.3,55.2,23.3,96.97,11.8,4986,19675926.0,134896484.0,14.6
Chris Boucher,TOR,29,80,48,32,21.1,111.0,105.7,5.3,2.2,0.60,3.4,9.5,18.3,13.7,5.8,52.3,57.0,17.2,97.60,11.1,3440,7020000.0,134896484.0,5.2
Thaddeus Young,TOR,33,52,27,25,16.3,106.1,106.3,-0.2,17.7,2.00,23.2,8.8,15.2,11.9,11.6,55.0,54.8,16.9,99.55,10.9,1764,14190000.0,134896484.0,10.5
Scottie Barnes,TOR,20,74,43,31,35.4,110.2,108.4,1.8,15.0,1.88,18.1,6.8,14.1,10.2,9.6,52.4,55.2,18.7,97.03,10.9,5277,7280400.0,134896484.0,5.4
OG Anunoby,TOR,24,48,31,17,36.0,112.0,108.1,3.9,10.8,1.56,13.1,4.0,11.6,7.6,8.4,52.6,54.9,20.4,97.07,9.2,3494,16071429.0,134896484.0,11.9
Precious Achiuwa,TOR,22,73,46,27,23.6,108.7,106.7,1.9,7.2,0.98,9.9,7.5,18.8,12.8,10.2,48.6,50.3,18.0,96.88,8.9,3483,2711280.0,134896484.0,2.0
Yuta Watanabe,TOR,27,38,21,17,11.7,105.7,109.6,-3.9,6.7,1.11,10.7,3.5,15.8,9.3,9.7,50.4,52.4,16.1,102.15,7.5,940,1762796.0,134896484.0,1.3
Malachi Flynn,TOR,24,44,25,19,12.2,109.2,111.8,-2.6,18.5,5.38,25.4,1.6,9.7,5.3,4.7,47.5,48.8,15.7,99.97,7.4,1120,2048040.0,134896484.0,1.5
Justin Champagnie,TOR,20,36,21,15,7.8,115.4,108.0,7.4,5.1,1.38,12.2,11.1,12.6,11.8,8.9,53.7,57.1,11.1,99.31,7.0,585,462629.0,134896484.0,0.3
Dalano Banton,TOR,22,64,37,27,10.9,106.6,105.1,1.5,19.7,1.87,26.5,4.8,12.4,8.3,14.2,44.3,46.3,15.9,99.80,7.0,1452,925258.0,134896484.0,0.7
Khem Birch,TOR,29,55,34,21,18.0,112.3,112.4,-0.1,7.4,1.93,17.7,11.2,12.8,12.0,9.2,48.5,53.4,10.8,97.39,6.8,2021,6350000.0,134896484.0,4.7
Armoni Brooks,TOR,23,54,20,34,15.6,108.3,112.1,-3.8,10.5,2.30,16.1,2.1,9.7,5.8,7.0,46.7,48.3,15.9,100.95,5.4,1769,1739065.0,134896484.0,1.3
Markelle Fultz,ORL,24,18,6,12,20.0,103.7,109.1,-5.3,44.8,2.48,30.5,1.0,11.6,6.3,12.3,48.6,51.7,26.5,103.01,13.4,774,16500000.0,126786646.0,13.0
Moritz Wagner,ORL,25,63,16,47,15.2,105.3,112.6,-7.2,15.1,1.55,14.6,4.1,19.0,11.5,9.4,58.1,62.3,22.4,102.12,12.4,2041,1729217.0,126786646.0,1.4
Mo Bamba,ORL,24,71,19,52,25.7,101.8,111.3,-9.6,7.3,1.10,10.5,7.7,21.4,14.6,9.5,56.6,58.2,17.0,100.13,11.4,3800,7568743.0,126786646.0,6.0
Cole Anthony,ORL,22,65,18,47,31.7,105.7,111.1,-5.4,28.1,2.17,23.8,1.5,14.5,8.0,10.9,46.4,51.9,24.5,99.82,10.6,4283,3449400.0,126786646.0,2.7
Franz Wagner,ORL,20,79,21,58,30.7,105.9,110.8,-4.9,15.1,1.94,16.2,3.3,10.6,6.9,8.4,51.7,55.9,20.8,100.13,10.2,5070,5007840.0,126786646.0,3.9
Chuma Okeke,ORL,23,70,21,49,25.0,100.3,109.1,-8.8,10.4,2.07,15.1,2.4,16.5,9.2,7.3,47.8,50.1,15.9,101.68,9.3,3709,3277080.0,126786646.0,2.6
Robin Lopez,ORL,34,36,9,27,17.0,103.3,109.7,-6.4,14.2,1.23,16.8,9.8,8.9,9.4,13.7,55.8,57.0,18.2,99.78,7.6,1280,5000000.0,126786646.0,3.9
Terrence Ross,ORL,31,63,14,49,23.0,101.9,113.8,-11.9,12.7,1.55,14.6,1.3,9.4,5.2,9.5,46.7,51.5,19.6,101.14,7.5,3059,12500000.0,126786646.0,9.9
Gary Harris,ORL,27,61,16,45,28.4,104.2,110.1,-5.9,9.4,1.77,14.2,2.0,4.8,3.4,8.0,53.9,57.1,16.0,100.66,6.6,3631,20932143.0,126786646.0,16.5
Jalen Suggs,ORL,20,48,16,32,27.2,100.6,107.8,-7.1,24.9,1.46,21.5,1.9,10.2,6.1,14.7,40.0,45.5,24.4,102.44,6.4,2785,6592920.0,126786646.0,5.2
Ignas Brazdeikis,ORL,23,42,9,33,12.8,100.6,116.4,-15.7,11.0,2.18,14.4,3.8,9.0,6.2,6.6,50.3,52.0,17.2,101.58,6.1,1136,462629.0,126786646.0,0.4
Admiral Schofield,ORL,25,38,10,28,12.3,100.3,113.8,-13.5,8.4,1.19,13.8,3.3,14.6,8.8,11.6,51.9,53.8,14.3,99.88,5.5,977,723741.0,126786646.0,0.6
Shai Gilgeous-Alexander,OKC,23,56,16,40,34.7,106.6,113.0,-6.4,29.3,2.15,19.4,1.7,11.4,6.5,9.0,49.6,55.7,29.8,101.41,13.4,4102,5495532.0,82022873.0,6.7
Mike Muscala,OKC,30,43,15,28,13.8,106.7,104.9,1.8,6.0,1.57,7.2,3.2,16.6,9.9,4.6,59.7,63.0,19.8,102.15,13.1,1261,3500000.0,82022873.0,4.3
Josh Giddey,OKC,19,54,17,37,31.5,101.1,109.4,-8.3,32.5,2.02,28.2,5.2,17.5,11.3,14.0,46.1,47.8,21.8,99.95,11.4,3538,5988000.0,82022873.0,7.3
Isaiah Roby,OKC,24,45,10,35,21.1,104.6,113.4,-8.8,11.7,1.65,14.5,7.4,14.5,10.9,8.8,58.2,60.7,18.5,102.08,10.1,2014,1782621.0,82022873.0,2.2
Kenrich Williams,OKC,27,49,17,32,21.9,102.0,100.3,1.7,15.9,2.35,21.7,6.2,12.3,9.2,9.3,52.5,53.2,15.3,99.24,10.1,2211,2000000.0,82022873.0,2.4
Derrick Favors,OKC,30,39,15,24,16.7,95.5,106.5,-11.0,6.1,2.78,11.0,7.9,17.8,12.8,3.9,52.2,53.4,13.1,99.83,9.6,1360,9720900.0,82022873.0,11.9
Aleksej Pokusevski,OKC,20,61,19,42,20.2,103.6,106.1,-2.5,16.1,1.39,18.6,5.4,18.9,12.1,13.4,47.0,48.5,19.5,100.66,9.5,2595,3113160.0,82022873.0,3.8
Darius Bazley,OKC,21,69,19,50,27.9,101.8,113.1,-11.3,7.8,1.08,10.7,3.4,17.6,10.4,9.9,48.4,51.5,18.0,100.92,9.3,4038,2513040.0,82022873.0,3.1
Jeremiah Robinson-Earl,OKC,21,49,15,34,22.2,101.1,110.9,-9.8,6.9,1.26,11.2,6.1,17.2,11.5,8.9,50.3,52.6,15.2,99.57,8.4,2247,2000000.0,82022873.0,2.4
Lindy Waters III,OKC,24,25,6,19,18.6,108.5,113.2,-4.7,7.8,2.18,11.3,1.2,14.0,7.5,5.2,55.7,56.2,16.6,102.81,8.2,1000,159527.0,82022873.0,0.2
Ty Jerome,OKC,24,48,15,33,16.7,98.9,100.4,-1.5,22.9,2.95,22.1,2.1,7.2,4.5,7.5,46.0,48.8,20.5,98.98,8.1,1661,2412840.0,82022873.0,2.9
Olivier Sarr,OKC,23,22,6,16,19.1,106.0,108.0,-2.0,6.6,0.86,12.3,7.8,13.3,10.6,14.3,63.9,67.2,13.6,100.59,7.9,877,223339.0,82022873.0,0.3
Luguentz Dort,OKC,23,51,17,34,32.7,101.9,110.1,-8.1,8.7,1.00,8.9,2.0,9.7,5.8,8.9,49.3,54.1,22.8,100.75,7.7,3490,1782621.0,82022873.0,2.2
Theo Maledon,OKC,20,51,14,37,17.8,101.8,112.3,-10.5,18.8,1.71,20.7,2.0,11.8,6.8,12.1,44.5,50.0,20.1,100.47,7.5,1901,2000000.0,82022873.0,2.4
Tre Mann,OKC,21,60,17,43,22.8,101.7,112.0,-10.3,10.8,1.28,11.6,1.7,10.1,5.8,9.0,47.6,50.1,21.3,100.48,6.9,2869,2901240.0,82022873.0,3.5
Aaron Wiggins,OKC,23,50,13,37,24.2,104.5,112.6,-8.1,8.3,1.26,13.8,4.0,9.8,6.9,10.9,52.5,55.6,14.9,101.60,6.2,2546,1305761.0,82022873.0,1.6
Vit Krejci,OKC,21,30,8,22,23.0,103.3,116.1,-12.8,11.7,1.97,21.7,2.4,12.1,7.0,11.0,50.3,52.9,12.5,101.02,5.6,1455,925258.0,82022873.0,1.1
Malcolm Brogdon,IND,29,36,14,22,33.5,110.8,111.1,-0.4,27.1,2.75,23.6,2.6,12.1,7.4,8.6,50.1,55.7,24.1,98.49,12.9,2479,21700000.0,138181486.0,15.7
Tyrese Haliburton,IND,22,77,26,51,35.0,110.0,115.9,-6.0,33.5,3.16,34.6,2.2,9.3,5.6,11.0,56.2,59.5,18.4,100.67,12.2,5655,4023600.0,138181486.0,2.9
Jalen Smith,IND,22,51,29,22,18.1,112.0,109.3,2.7,3.8,0.57,5.2,10.1,21.6,15.7,9.1,56.0,59.5,19.3,100.73,11.9,1930,4458000.0,138181486.0,3.2
Ricky Rubio,IND,31,34,20,14,28.5,108.6,99.5,9.1,34.8,2.50,29.3,1.5,12.2,6.9,11.7,43.4,48.8,23.4,100.86,11.1,2038,17800000.0,138181486.0,12.9
Myles Turner,IND,26,42,15,27,29.4,109.7,109.9,-0.3,5.3,0.81,8.2,5.2,18.8,12.0,10.1,58.7,61.5,17.3,97.75,11.1,2511,18000000.0,138181486.0,13.0
Terry Taylor,IND,22,33,7,26,21.6,112.2,119.1,-6.9,8.1,1.78,13.4,12.9,11.7,12.3,7.5,64.1,65.6,15.1,102.08,9.7,1514,895125.0,138181486.0,0.6
Lance Stephenson,IND,31,46,11,35,17.7,110.4,117.4,-7.0,29.8,2.29,27.7,1.4,14.9,7.9,12.1,49.7,53.6,21.9,101.25,9.6,1720,1614825.0,138181486.0,1.2
Isaiah Jackson,IND,20,36,9,27,15.0,113.3,116.1,-2.8,2.7,0.25,3.4,10.9,15.7,13.3,13.6,57.5,60.7,21.4,103.00,9.3,1158,2451240.0,138181486.0,1.8
Chris Duarte,IND,24,55,21,34,28.0,107.6,109.7,-2.0,11.0,1.27,13.1,2.6,11.7,7.1,10.3,50.7,53.7,20.7,99.30,8.9,3193,3749400.0,138181486.0,2.7
Goga Bitadze,IND,22,50,17,33,14.6,114.0,116.4,-2.4,11.0,1.20,14.0,10.6,13.9,12.2,11.7,56.5,59.5,19.1,100.69,8.8,1531,3098400.0,138181486.0,2.2
Buddy Hield,IND,29,81,26,55,30.8,111.4,115.1,-3.6,13.5,1.50,15.1,2.5,11.4,6.8,10.1,52.6,54.8,21.4,100.47,8.4,5242,23073234.0,138181486.0,16.7
Oshae Brissett,IND,23,67,19,48,23.3,110.8,116.8,-6.0,6.4,1.33,10.2,6.5,16.5,11.3,7.7,49.3,53.0,16.6,101.21,7.9,3288,1701593.0,138181486.0,1.2
Justin Anderson,IND,28,16,3,13,19.7,116.7,116.9,-0.1,13.5,4.13,23.1,1.3,14.2,7.6,5.6,45.8,49.3,14.9,100.00,6.7,652,445828.0,138181486.0,0.3
Keifer Sykes,IND,28,32,6,26,17.7,108.5,112.9,-4.5,16.2,1.88,21.3,1.4,6.9,4.0,11.3,43.4,45.6,17.4,98.86,3.9,1159,558345.0,138181486.0,0.4
Obi Toppin,NYK,24,72,32,40,17.1,110.9,104.0,6.9,10.5,1.38,11.6,5.6,15.5,10.7,8.5,58.6,61.4,20.5,97.48,12.9,2494,5105160.0,120644081.0,4.2
Derrick Rose,NYK,33,26,11,15,24.5,109.1,103.3,5.8,26.6,2.64,24.0,3.2,8.0,5.7,9.1,51.3,54.1,21.7,97.53,12.9,1300,13445120.0,120644081.0,11.1
Julius Randle,NYK,27,72,32,40,35.3,108.0,111.6,-3.6,25.1,1.51,18.2,4.5,22.5,13.2,12.0,45.9,50.9,27.9,97.68,12.8,5187,19800000.0,120644081.0,16.4
Mitchell Robinson,NYK,24,72,32,40,25.7,109.1,111.2,-2.1,3.2,0.63,7.3,14.5,17.1,15.8,11.5,76.1,72.2,11.0,97.08,11.4,3739,1802057.0,120644081.0,1.5
Immanuel Quickley,NYK,22,78,35,43,23.1,111.4,104.8,6.6,24.4,2.78,23.3,1.7,11.4,6.6,8.4,48.7,54.3,21.7,96.27,11.0,3626,2210640.0,120644081.0,1.8
Alec Burks,NYK,30,81,37,44,28.6,110.3,108.1,2.3,15.8,2.63,20.5,1.9,14.8,8.2,7.8,49.9,55.9,17.1,96.97,9.9,4691,9536000.0,120644081.0,7.9
RJ Barrett,NYK,21,70,33,37,34.5,108.3,111.6,-3.3,14.6,1.38,12.0,2.5,13.6,7.9,8.7,46.6,51.1,26.8,97.79,9.9,4932,8623920.0,120644081.0,7.1
Kemba Walker,NYK,32,37,16,21,25.6,105.4,114.5,-9.1,22.0,2.73,22.7,1.4,9.9,5.5,8.3,50.1,53.7,20.2,98.92,9.8,1951,34967442.0,120644081.0,29.0
Cam Reddish,NYK,22,49,20,29,20.7,103.2,113.0,-9.8,7.8,0.84,8.5,2.3,7.5,4.8,10.1,48.5,54.3,21.3,100.62,7.9,2118,4670160.0,120644081.0,3.9
Jericho Sims,NYK,23,41,19,22,13.5,109.3,102.9,6.5,5.4,1.05,19.3,10.8,18.7,14.8,18.3,72.2,67.4,6.8,99.02,7.4,1146,462629.0,120644081.0,0.4
Evan Fournier,NYK,29,80,36,44,29.5,109.7,112.5,-2.7,11.4,1.63,13.3,1.3,7.3,4.2,8.2,54.1,55.4,20.1,97.94,7.4,4828,17142857.0,120644081.0,14.2
Quentin Grimes,NYK,22,46,21,25,17.1,102.0,105.0,-3.0,9.5,1.57,14.0,2.8,8.5,5.6,8.9,55.7,56.5,14.9,96.70,7.0,1581,2168640.0,120644081.0,1.8
Nerlens Noel,NYK,28,25,10,15,22.5,104.1,109.8,-5.7,6.0,1.15,19.8,8.4,16.1,12.3,17.2,53.3,58.1,7.2,98.91,6.9,1157,8800000.0,120644081.0,7.3
Taj Gibson,NYK,36,52,24,28,18.2,107.4,104.2,3.3,5.0,1.19,12.9,8.8,13.9,11.4,10.8,56.3,60.6,9.9,96.74,6.9,1897,4910000.0,120644081.0,4.1
Miles McBride,NYK,21,40,19,21,9.3,113.1,100.1,13.0,15.9,8.20,25.8,1.1,9.7,5.6,3.1,37.5,39.3,13.7,97.30,4.1,756,925258.0,120644081.0,0.8
DeMarcus Cousins,DEN,31,48,33,15,14.9,113.8,111.7,2.2,15.3,0.84,13.3,10.3,28.1,19.0,16.0,51.7,56.7,26.7,100.69,11.7,1507,2038942.0,137963926.0,1.5
Monte Morris,DEN,26,75,44,31,29.9,116.3,110.4,6.0,20.1,4.27,27.3,1.3,8.7,5.2,6.4,56.4,58.3,17.3,98.55,9.8,4601,8449074.0,137963926.0,6.1
Bones Hyland,DEN,21,69,41,28,19.0,113.4,111.7,1.7,22.0,2.22,21.2,1.1,13.3,7.2,9.6,51.8,55.8,23.1,99.84,9.6,2722,2096880.0,137963926.0,1.5
Aaron Gordon,DEN,26,75,46,29,31.7,117.3,111.1,6.2,10.9,1.41,15.0,5.7,12.9,9.5,10.6,57.3,60.2,19.4,99.00,9.6,4908,16409091.0,137963926.0,11.9
Will Barton,DEN,31,71,41,30,32.1,112.5,110.4,2.0,17.1,2.17,20.4,2.0,12.8,7.5,9.4,52.5,54.8,20.5,99.34,9.5,4713,15625000.0,137963926.0,11.3
JaMychal Green,DEN,31,67,36,31,16.2,106.8,110.3,-3.5,8.4,1.04,12.1,7.3,18.7,12.9,11.7,53.7,58.7,16.8,99.32,9.3,2241,8200000.0,137963926.0,5.9
Davon Reed,DEN,26,48,29,19,13.9,109.8,109.5,0.3,11.5,3.31,22.6,2.1,14.0,8.1,6.8,61.8,62.4,11.7,100.30,8.3,1382,532398.0,137963926.0,0.4
Zeke Nnaji,DEN,21,41,24,17,17.0,107.2,110.4,-3.2,3.7,0.74,6.6,7.7,14.1,10.7,9.0,61.6,62.9,14.6,99.25,7.8,1443,2498760.0,137963926.0,1.8
Jeff Green,DEN,35,75,44,31,24.7,113.3,111.5,1.8,7.1,1.35,12.3,2.4,10.0,6.3,9.1,57.4,62.7,16.0,99.56,7.5,3831,4500000.0,137963926.0,3.3
Bryn Forbes,DEN,28,75,36,39,17.1,109.3,109.8,-0.5,8.6,1.34,10.7,0.7,6.3,3.5,8.0,54.2,57.4,20.1,101.29,7.4,2731,4500000.0,137963926.0,3.3
Facundo Campazzo,DEN,31,65,38,27,18.2,102.1,110.7,-8.6,27.6,3.28,35.7,1.9,8.0,4.8,10.9,45.9,50.3,14.3,99.38,7.3,2451,3100000.0,137963926.0,2.2
Austin Rivers,DEN,29,67,41,26,22.1,113.0,111.1,1.9,8.2,1.67,17.6,1.4,6.3,3.9,10.5,53.0,54.6,12.3,98.91,4.3,3047,2401537.0,137963926.0,1.7
Jerami Grant,DET,28,47,11,36,31.9,102.9,110.7,-7.8,13.0,1.31,11.1,1.7,10.8,6.0,8.5,49.1,55.6,25.3,98.31,11.2,3082,20002500.0,131120355.0,15.3
Hamidou Diallo,DET,23,58,14,44,21.9,103.1,110.7,-7.6,9.8,1.26,10.2,4.9,16.2,10.3,8.1,51.8,54.1,21.3,100.69,10.7,2657,5200000.0,131120355.0,4.0
Kelly Olynyk,DET,31,40,13,27,19.1,108.4,113.3,-4.9,21.4,1.91,22.6,6.7,17.0,11.6,11.8,51.7,56.1,20.7,101.76,10.5,1623,12195122.0,131120355.0,9.3
Cade Cunningham,DET,20,64,20,44,32.6,106.9,113.1,-6.2,28.3,1.52,21.0,2.6,14.3,8.3,13.8,47.1,50.4,27.3,98.71,10.0,4290,10050120.0,131120355.0,7.7
Saddiq Bey,DET,23,82,23,59,33.0,104.7,114.0,-9.3,13.8,2.43,14.8,3.5,12.5,7.8,6.1,48.9,52.9,20.9,99.32,10.0,5605,2824320.0,131120355.0,2.2
Saben Lee,DET,22,37,8,29,16.3,105.1,110.8,-5.7,27.4,2.97,30.3,2.6,11.3,6.7,10.2,42.9,49.9,16.9,100.22,10.0,1257,1489065.0,131120355.0,1.1
Isaiah Stewart,DET,21,71,21,50,25.6,102.6,112.1,-9.5,7.0,0.96,11.7,11.1,21.7,16.1,12.1,52.6,55.0,14.4,98.58,9.6,3723,3277080.0,131120355.0,2.5
Cory Joseph,DET,30,65,19,46,24.6,105.3,111.7,-6.4,22.0,2.79,31.1,1.7,9.2,5.3,11.1,52.6,57.9,14.1,98.63,8.1,3290,7310000.0,131120355.0,5.6
Rodney McGruder,DET,30,51,13,38,14.8,105.0,108.7,-3.7,9.4,2.00,15.5,3.7,10.4,6.9,7.8,56.4,57.7,14.2,101.56,7.7,1597,1939350.0,131120355.0,1.5
Luka Garza,DET,23,32,3,29,12.2,104.6,110.9,-6.3,8.6,1.11,9.6,13.0,11.6,12.4,8.6,50.3,53.5,19.5,102.18,7.5,823,925258.0,131120355.0,0.7
Isaiah Livers,DET,23,19,8,11,20.2,113.8,114.6,-0.8,7.7,1.40,15.9,3.7,10.9,7.2,11.4,60.6,62.9,12.5,98.25,6.6,783,1057260.0,131120355.0,0.8
Killian Hayes,DET,20,66,21,45,25.0,102.6,112.9,-10.3,24.3,2.50,31.5,2.0,10.8,6.1,12.6,43.1,46.1,15.4,100.32,6.6,3437,5572680.0,131120355.0,4.3
Frank Jackson,DET,24,53,9,44,22.0,104.1,110.9,-6.8,7.7,1.45,8.9,1.5,5.8,3.6,6.2,49.1,53.0,20.3,101.18,6.4,2445,3000000.0,131120355.0,2.3
Justin Robinson,DET,24,25,13,12,12.1,93.8,111.3,-17.5,17.5,1.88,21.9,1.1,5.1,3.1,11.6,39.8,40.4,15.3,104.54,2.3,658,265953.0,131120355.0,0.2
